post,comment
"$ADRO bakal sampe diharga berapa ni bang naiknya ,
Mending TP apa nunggun deviden ya bagusnya",jelang cum date baru msk lagi ngincer div
"$ADRO bakal sampe diharga berapa ni bang naiknya ,
Mending TP apa nunggun deviden ya bagusnya",Mau nunggu deviden tapi gainnya lebih menarik
ini insting saya bandar nanti setelah cum date paling banter berani jual ADRO 2610 itu harus di SERBU YA terserah investors aja kalau 2830 mau beli tapi dapat deviden juga aman 2 aja 👍💯✌️🙏, siap...pengen sih di 2400 gitu belinya
ini insting saya bandar nanti setelah cum date paling banter berani jual ADRO 2610 itu harus di SERBU YA terserah investors aja kalau 2830 mau beli tapi dapat deviden juga aman 2 aja 👍💯✌️🙏,"jual sih sebelum cum date, dividen saya gk nutup🫣"
ini insting saya bandar nanti setelah cum date paling banter berani jual ADRO 2610 itu harus di SERBU YA terserah investors aja kalau 2830 mau beli tapi dapat deviden juga aman 2 aja 👍💯✌️🙏, jangan sampai nanti kalau kehilangan barang marah 2 GPP terserah cara Bro yg terbaik .saya cuma ingatkan harga ADRO yg sebenarnya diatas 5000👍✌️💯👋👋👋🙏
ini insting saya bandar nanti setelah cum date paling banter berani jual ADRO 2610 itu harus di SERBU YA terserah investors aja kalau 2830 mau beli tapi dapat deviden juga aman 2 aja 👍💯✌️🙏,kapan ya payment deviden nya?
ini insting saya bandar nanti setelah cum date paling banter berani jual ADRO 2610 itu harus di SERBU YA terserah investors aja kalau 2830 mau beli tapi dapat deviden juga aman 2 aja 👍💯✌️🙏, cumdate tgl brp si info donk
"holder $ANTM baru naik seuprit dah pada ngimpi ke 2000 ngoahaha

udah kyk prediksi analis yg ngasal acha ... $INCO ke 3050
ANTM ke 1980 ? ngoahahaha
tp msh mending sih dr pd si parjo yg nebar halu $OKAS ke 3000
segnap pasukan Panda di belantara hutan China sana pun berguling2 tertawa terpingkal2 mendengarnya
ngoahahaha ngoahahaha
skrg mah porto gw terbesar ada di $ADRO , the future company
#gw jg holder ANTM tp emg niat buat nabung dividen

disclaimer
bkn ajax2 sell or buy
dyor", $OKAS ke 3000 ? Ngoahahaha
"holder $ANTM baru naik seuprit dah pada ngimpi ke 2000 ngoahaha

udah kyk prediksi analis yg ngasal acha ... $INCO ke 3050
ANTM ke 1980 ? ngoahahaha
tp msh mending sih dr pd si parjo yg nebar halu $OKAS ke 3000
segnap pasukan Panda di belantara hutan China sana pun berguling2 tertawa terpingkal2 mendengarnya
ngoahahaha ngoahahaha
skrg mah porto gw terbesar ada di $ADRO , the future company
#gw jg holder ANTM tp emg niat buat nabung dividen

disclaimer
bkn ajax2 sell or buy
dyor",okas ke 1.000.000
"$BBRI $BBNI $BBCA $BNGA $BMRI
para ritel kasihani uang kalian jangan terus hajar ndar itu punya uang ngak terbatas sedangkan k ef mampuan kita terbatas mending cari peluang ditempat lain hr ini saya isrng iseng pasang bbva 9200 eh dapat sekarang 9450 kan cuan ntar ssmpai 9600 saya lepas ntar tunggu lagi 9250-9300 knp mesti hajar terus bbri dan bbni ngak ada untungnya krn masih bisa turun lagi mending cari peluang di batu bara atau yg lainnya cuan yg terpenting 😂😁",ya itu bagimu aja kalau bagi investor yang bener bener invest pasti santai aja dan ngeliat aja kalau ini udh saatnya buy dan btw harga bandar semua rata rata di 5000 an 
"$BBRI $BBNI $BBCA $BNGA $BMRI
para ritel kasihani uang kalian jangan terus hajar ndar itu punya uang ngak terbatas sedangkan k ef mampuan kita terbatas mending cari peluang ditempat lain hr ini saya isrng iseng pasang bbva 9200 eh dapat sekarang 9450 kan cuan ntar ssmpai 9600 saya lepas ntar tunggu lagi 9250-9300 knp mesti hajar terus bbri dan bbni ngak ada untungnya krn masih bisa turun lagi mending cari peluang di batu bara atau yg lainnya cuan yg terpenting 😂😁"," trader??
agak aneh memang pemikiran para trader, saham bagus malah bandar bandor.
pemain selot selot, masuk keluar, ga ada kerjaankah? sibuk liatin naik turun saham?
sekarang bilang batubara, tar batubara turun panik jual beli lagi.
gitu aja terus, lama lama duit lu habis bayar fee broker bray "
"$EXCL
Rumor : EXCL Akan TO di Rp3K. Announcement as early as today close.
Let's see","$EXCL gk dalam bet dividen trapnya, masih bisa melambung sudah ex date"
$EXCL bsk ada dividen trap ya?,Trap apaan. Dev cuma 2%. Paling kalau trap 2%. 2 minggu juga balik
MA 50 melewati MA 200 apakah bakalan naik? kira kira kalau naik sampai berapa ya? 😴🧐,"udh golden cross bang, pilihannya naik banget apa naik dikit doakan semoga melesat 6000 kalau q2,q3,q4 net profit konsisten 2 T lebih"
MA 50 melewati MA 200 apakah bakalan naik? kira kira kalau naik sampai berapa ya? 😴🧐,wow..
"$PGAS tikusnya kan udh ketangkep tuh, tanamannya harusnya bisa berbuah banyak. gaaaaaaasssss broooohhh 💃💃💃", otw 2000 😁
"$PGAS tikusnya kan udh ketangkep tuh, tanamannya harusnya bisa berbuah banyak. gaaaaaaasssss broooohhh 💃💃💃", eh kok sepi yang ngehina hina $PGAS ya bang 🙈🙈🙈
"$PGAS tikusnya kan udh ketangkep tuh, tanamannya harusnya bisa berbuah banyak. gaaaaaaasssss broooohhh 💃💃💃", biasa klo ijo ya otomatis hilang kaum penebar fear
"Semen, semen apa yang bisa turun tapi ga bisa naik?", ini kenapa ya bisa sampe ngedrop gini harganya ?
"Semen, semen apa yang bisa turun tapi ga bisa naik?",baterai abis bang 🤭
$SMGR $INTP mana sekuritas yg ngemeng semen semenan “the worst is over” 🤣🤣🤣,) yg ngomong itu kagak beli 🤣🤣 kalau analis itu yakin tolong tunjukan porto nya berapa lot dia beli 🤣🤣🤣🤣🤣
$SMGR $INTP mana sekuritas yg ngemeng semen semenan “the worst is over” 🤣🤣🤣, sampai gadai rumah sertifikat dan bpkb mobil ga 🤣🤣🤣
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏","ndar $ACES izin antri 825 yah, makasih 🙏"
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏","dapet $ACES 825 nya, izin antri lagi di 805 ya ndar 🙏"
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏","beli tinggal beli, alay bet izin izin"
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏",lebay
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏",pea
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏",smpe gocap ditungguin keknya
Andai $BBCA $BBRI $BMRI $ADRO kalo harga bisa seperti $DSSA udah banyak yg kaya mendadak😂,iya last 2021 sekitaran segitu $BBCA 😂
Andai $BBCA $BBRI $BMRI $ADRO kalo harga bisa seperti $DSSA udah banyak yg kaya mendadak😂,bbca kalo engga stock split harganya bisa 300ribuan perlembar
5800 lagi dong 🤑 🤑 🤑$BMRI,BK top buyer lagi
$BBRI ini kira2 naik lagi gak ya?, naik ke puncak gunung
$BBRI ini kira2 naik lagi gak ya?,naik. hold setahun aman
"$BBRI fearnya kencengin, mau serok bawah🗿",kemaren2 dikasih bawah kaga diserok bang
"$BBRI fearnya kencengin, mau serok bawah🗿",ketinggalan pesawat
$BBRI next akan ke mana arah bbri kedepan,hari ini koreksi sehat tutup gap
$BBRI Absen dulu yang nyangkut di 5000 dan 6000,hadirrr
"$BBRI suku bunga gk jd naik, terbang ini saham
$BBNI
$BMRI", terbang ke bawah kek nya
"$BBRI suku bunga gk jd naik, terbang ini saham
$BBNI
$BMRI","selama asing masih tinggi net sell, ada kemungkinan masih turun, tergantung dengan amunisi ritel"
"$BBRI apa masih meragukan Teknikal Analisis? 😁
belajar TA supaya tau kapan masuk kapan keluar. jangan cuma buy buy buy😹",klau ke 3600 enak bgt tuh ane mau all in
$BBRI turunin dong ndar,dikasi turun gak mau masuk kwkw
$BBRI akhirnya ngerasain ijo., berani sekali ambil diharga tinggi
$BBRI akhirnya ngerasain ijo., @jauki9 harga rendah ini bang
$BBRI besok jumat yagesya,"Makin asik dong, udah liat belum jumat minggu lalu ?"
$BBRI berbahagialah kalian yg serbrut di 4100 an,"Saya di 4,600 aja girang om… apalagi yg di 4,100 👏🏻👏🏻👏🏻👏🏻🎉🎉🎉🎉"
"$BBRI mau nambah bbri lagi, saran dong enak ngebit di harga berapa ya ?", tunggu di 4500 an
$BBRI masih loss,wehhh puncak gunung arjuna bang...semangat
$BBRI masih loss,semangat
$BBRI masih loss,dingin ga bang di pucuk? lagi otw ini tenang aja
$BBRI $CUAN $BRIS $PANI $ADRO,kesabaran tingkat tinggi 🤣
$BBRI $CUAN $BRIS $PANI $ADRO," CL aja bosss, susah kejemputnya"
"$BBRI sepertinya koreksi sedikit, untuk invest jangka panjang saatnya tambah muatan. disc on.", yup...setuju👍
"$BBRI mayanlah, dari minus 20 jt tinggal 5 jt 🗿",Sama bang wkwkw. Santai aja mah karna yakin sama BRI
"$BBRI menurut aku, lebih baik hold, dari pada jual beli jual beli karena dengan cara itu justru bikin rugi di banding di hold 😔","Rugi waktu, rugi tenaga, rugi kena fee."
$BBRI gagal tembus 4930 harusnya turun dulu ga sih?, @Strader ke 4700an dulu
$BBRI rungkad, CL aja omm
 kira² desember-januari bisa kembali ke 6400 ga ya,mana bisa bro wkwkwk 
"swing di $MKAP kena arb, swing di $BRPT malah kekenyangan $CUAN 👺",swing di $KJEN ara
$BRPT ask 1juta,Bandar suka kejar yg tebal
$BRPT kena kasus?, kalo kena kasus wajib d buang da
$BRPT pegangan semuanya to the moon ini,to the basement
$BRPT kerjaan mamang guyur ama CC ini 😂😂, BRPT bukañny yg doyang guyur si BK
$BRPT bisa ara ?,gabisa lah wkwk
$BRPT ini saham apaan sih?,1) Saham sampah
$MAPI nyangkut ngarepin deviden lumayan lah ya,nyangkut di berapa
$MAPI nyangkut ngarepin deviden lumayan lah ya,lah 1500
"$MAPI INI MASIH ADA PROSPEK NAIK NGGA PAK?
saya masuk barusan 1420",aman aman aja malah proyeksi ekonomi kedepan ritel malah bagus karena suku bunga gjtu gitu aja
$MBMA siapa pengendali sebenar nya?,akuuu
$MBMA siapa pengendali sebenar nya?,bandar wkwkwk
$MTEL apa udh masuk dividen nya ?,udah bang
$MTEL tembusin sni,1) moga sesi 2 ngebut lagi
"Original Post
Selamat yg kmaren serok $TOWR di harga 675, ketakutan minus dalem pasca exdate tdk terbukti.

Mulai rebound

random tag : $MTEL $TBIG $GHON $TLKM",kirain ex date bisa ke 700...eh malah terbang LOL
"$MTEL ternyata analisa saya bener terus cuman saya aja yg kurang sabar, contoh MTEL ini ga lama di jual langsung terbang babi babi","Berarti analisanya salah bre🤣, harusnya terbang dulu baru dijual kalo analnya lisa pas."
"$PTBA kenapa ga jadu turunin, berhari2 nungguin di bawah oy", bentar lagi musim dingin bosku
"$PTBA kenapa ga jadu turunin, berhari2 nungguin di bawah oy", gagal avg down ini 😭😭😭
"$PTBA Bersiap untuk PTBA ya teman2. Dah....itu aja.


Salam Dahsyat Cuan Berlimpah Ruah 🫰🤑😁",Siap kemana pak?
"$PTBA Bersiap untuk PTBA ya teman2. Dah....itu aja.


Salam Dahsyat Cuan Berlimpah Ruah 🫰🤑😁",sudah saatnya main di harga 3000 an
jgn naik dulu lah pls..pdhl masih pingin nyerok byk..$PTBA, Kemarin2 kmn aja
$AMRT mudahan turun 1.700,minimal nunggu 3 tahun lagi.
$ARTO knapa merah sendiri 😭,Arto memang lain dari pada yang lain🤣
"Ayok tebak - tebakan, abis makan siang saham ini $ARTO akan terbang atau makin nyungsep?

Kalau analisa saya, bakal nyebur ke air keruh ya. Kalau menurut kalian gimana?",Turun ke kaki gunung kembar.
" $ARTO support 2040
resist 2160-2170
close diatas 2170 hold
target 2250-2270",kmn aja dr 1000 ke 19 rb g masuk?
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan",saat nya masuk
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan"," jaman skrg ngikutin si badut MS udah ga masuk di akal, khususnya yg mau invest bukan trading. MSCI aja masukin saham2 gorengan premium ke portofolio mereka ex T*** . Waktu si $ARTO harga premium pun jg masuk MSCI, alhasil para fund manager nyangkut berjamaah disana, emg lawak indeks yg satu ini 😂"
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan",dan mereka juga yg merekomendasikan buy arto pas harga 18K. 🤣
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan",Masih mending yg haka $ADRO 3800 dan $WIIM 3000 dibanding yg haka $ARTO 14 K. Kayak @xiang123 wkwkw
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan"," serius nanya, kira-kira kenapa Government of Singapore (GIC Private Limited) beli tahun 2021-2022 lalu hold sampai sekarang saham ARTO ini?
harga rata-rata beli mereka di atas 9 ribu yang berarti floating loss di atas 70%
cmiiw"
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan", eksekutif -bego ...pinjol merajalela ...mayan dah gorengan setaon 🤣😋
"kalau $GOTO punya gopay & bank jago $ARTO, maka GRAB punya OVO & superbank dari grup $EMTK $IHSG"," superbank masih mentah, gk dpt kartu debit, gk bisa qris, tidak selengkap bank jago"
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!",Kerja di bank BUMN tp pake dan simpan uang di bank jago wkwk
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!",wkwkwk
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!","kalo promosinya gencar revenue Bank Jago akan naik gan, tunggu aja"
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!",iya sih $ARTO punya saya cuma 3% dari porto
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!"," gue juga nasabah bank ini dan sangat puas dengan layanannya, tapi saran gue ga usah, value beat growth, return saham ga di tentukan dari pengalaman konsumer."
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!",3400 ka
$ESSA enaknya masuk di berapa?,"Masih kemahalan segini, 500 pun sebetulnya msh mahal, RPS dan PBV ada di 350an"
"$ESSA akhirnya semua lot udah di jual abis 850 , perjalanan nya panjang , di 2023 udah sempat -40 persen waktu kena ARB 6x , lalu di AVG down pelan pelan sambil nunggu naik , akhir nya di April 2024 - Juni 2024 baru mulai TP , kalo abis ini masih naik ya gpp emang rejeki nya di 850 saja , nunggu koreksi nanti masuk lagi deh , terima kasih buat Yang Maha Esa dan $ESSA . 😁 😆"," $ESSA Nah ini contoh baik, TP di 850, bukan malah di HAKA 🤣🤣"
"$ESSA akhirnya semua lot udah di jual abis 850 , perjalanan nya panjang , di 2023 udah sempat -40 persen waktu kena ARB 6x , lalu di AVG down pelan pelan sambil nunggu naik , akhir nya di April 2024 - Juni 2024 baru mulai TP , kalo abis ini masih naik ya gpp emang rejeki nya di 850 saja , nunggu koreksi nanti masuk lagi deh , terima kasih buat Yang Maha Esa dan $ESSA . 😁 😆",abis ini mo ngasoh dulu pala kenceng tarik ulur essa ini dari april 2023 hahahahaha
"SWING TRADING

$ESSA
Entry 750 - 800
CL 715
TP 900, 950",Essa sepertinya saat ini sudah membentuk double bottom ya om? Apakah dalam waktu beberapa hari kedepan bisa 900?
$GGRM harga sudah murah cepet beli ada pembagian deviden,"lapak ""drama"" kaya gini yg bikin film itu jadi seru 🤣"
$GGRM harga sudah murah cepet beli ada pembagian deviden,"$GGRM tgl 28 Juni ya, masih lama moga2 banyak akun kaya gini + antagonis spy seru."
$GGRM harga sudah murah cepet beli ada pembagian deviden,bosen lihat drama FCA $BREN. padahal $BREN lagi ngaceng2nya.
$GGRM prospeknya gimana kira2 Pak??,long tren bearish
$UNVR  ALL TIME LOW SINCE 2009,saya juga nyangkut di avg 27rb an
$BMRI $BBNI Apakah bandar asing udah mulai masuk big bank lagi? Apakah ini udah uptrend dari perbankan big 4?," belum tentu, brkl cm.trik bandar...dinaikin, besok dibanting lg lbh dlm hahaha"
$BMRI $BBNI Apakah bandar asing udah mulai masuk big bank lagi? Apakah ini udah uptrend dari perbankan big 4?," kalau dibanting, kita order lagi lah"
$ACES dan $DSNG siap2 nih, siapa kita ??!!! 🇮🇩🇮🇩🇮🇩 
$ACES dan $DSNG siap2 nih, awas rebound sementara...saya masih tunggu di 5300
$ACES Terlihat aces closingnya kurang bagus & kenaikan tanpa volume.... diakhiri jarum suntik yang cukup panjang... kemungkinan besok akan koreksi.,hooh aja
"Kuat bener bandarnya👀

$ACES $TLKM",lg jaga harga 😅
$ACES keras temboknya... tapi nanti sesi 2 jebol 😅🚀🚀🚀,tolong bantu jebolin
$ACES mau naik ini jangan di tembok terus, bocoran dari 400 naik ke 800 dari kk Jonathan. bener kan kk @aizkharisma
$ACES mau naik ini jangan di tembok terus,gw lupa dulu yg gw pernah bahas ini sama lu masih di brp ya bang ?
$ACES mau naik ini jangan di tembok terus,ya itu 400. bocoran dari kk jojon. dia kerja di $ACES jadi tau buka cabang dimana aja. dia aja mau berangkat ke Cina reward dari AcES
$ACES mau naik ini jangan di tembok terus, wah tau gitu dulu ambil ya. belum lama kayaknya 😂
"$ACES div Rp. 33,5 / lbr, DPR 74,4 % . 👍 🙏", 33.5 tuh sama aja 33.500 atau 3350 ya?
"$ACES div Rp. 33,5 / lbr, DPR 74,4 % . 👍 🙏","Rp. 33,5 / lbr = Rp. 3.350 / lot"
"$PTBA cair, $MPMX exdate, $ACES pengumuman🤣🤣 next $PWON dan $SMDR😁", mau tanya klok bru beli sekarang bisa dpt dividen gk nantinya ya
"$PTBA cair, $MPMX exdate, $ACES pengumuman🤣🤣 next $PWON dan $SMDR😁","cume datenya tgl 19 juni dapat lah, kalau beli sebelum exdate pasti dapat deviden"
$ACES wah... jumat penuh berkah kali ini... bakalan lompat kodok nih Aces 😌🔥💪,ga jdi lompat kodok malah minus 😪
"💰 ACES: Dividen Rp33,5/Saham, Indikasi Yield 4%

Ace Hardware Indonesia ($ACES) akan membagikan dividen tahun buku 2023 sebesar Rp572,9 M atau Rp33,5/saham, setara 75% dividend payout ratio. Cum date di pasar reguler dan negosiasi pada 19 Juni 2024, sementara tanggal pembayaran belum diumumkan. Mengacu harga saham ACES pada perdagangan intraday sesi I hari ini, Jumat (7/6), di level Rp835/lembar, maka indikasi dividend yield adalah 4%.","$PTBA cair, $MPMX exdate, $ACES pengumuman🤣🤣 next $PWON dan $SMDR😁"
"💰 ACES: Dividen Rp33,5/Saham, Indikasi Yield 4%

Ace Hardware Indonesia ($ACES) akan membagikan dividen tahun buku 2023 sebesar Rp572,9 M atau Rp33,5/saham, setara 75% dividend payout ratio. Cum date di pasar reguler dan negosiasi pada 19 Juni 2024, sementara tanggal pembayaran belum diumumkan. Mengacu harga saham ACES pada perdagangan intraday sesi I hari ini, Jumat (7/6), di level Rp835/lembar, maka indikasi dividend yield adalah 4%.",mau tanya klok bru beli sekarang bisa dpt dividen gk nantinya ya
"💰 ACES: Dividen Rp33,5/Saham, Indikasi Yield 4%

Ace Hardware Indonesia ($ACES) akan membagikan dividen tahun buku 2023 sebesar Rp572,9 M atau Rp33,5/saham, setara 75% dividend payout ratio. Cum date di pasar reguler dan negosiasi pada 19 Juni 2024, sementara tanggal pembayaran belum diumumkan. Mengacu harga saham ACES pada perdagangan intraday sesi I hari ini, Jumat (7/6), di level Rp835/lembar, maka indikasi dividend yield adalah 4%."," cume datenya tgl 19 juni dapat lah, kalau beli sebelum exdate pasti dapat deviden"
