post,comment
$ACES dan $DSNG siap2 nih, siapa kita ??!!! 🇮🇩🇮🇩🇮🇩 
$ACES Terlihat aces closingnya kurang bagus & kenaikan tanpa volume.... diakhiri jarum suntik yang cukup panjang... kemungkinan besok akan koreksi.,hooh aja
"Kuat bener bandarnya👀

$ACES $TLKM",lg jaga harga 😅
$ACES keras temboknya... tapi nanti sesi 2 jebol 😅🚀🚀🚀,tolong bantu jebolin
$ACES mau naik ini jangan di tembok terus, bocoran dari 400 naik ke 800 dari kk Jonathan. bener kan kk @aizkharisma
"$ACES div Rp. 33,5 / lbr, DPR 74,4 % . 👍 🙏", 33.5 tuh sama aja 33.500 atau 3350 ya?
"$PTBA cair, $MPMX exdate, $ACES pengumuman🤣🤣 next $PWON dan $SMDR😁", mau tanya klok bru beli sekarang bisa dpt dividen gk nantinya ya
$ACES wah... jumat penuh berkah kali ini... bakalan lompat kodok nih Aces 😌🔥💪,ga jdi lompat kodok malah minus 😪
"💰 ACES: Dividen Rp33,5/Saham, Indikasi Yield 4%

Ace Hardware Indonesia ($ACES) akan membagikan dividen tahun buku 2023 sebesar Rp572,9 M atau Rp33,5/saham, setara 75% dividend payout ratio. Cum date di pasar reguler dan negosiasi pada 19 Juni 2024, sementara tanggal pembayaran belum diumumkan. Mengacu harga saham ACES pada perdagangan intraday sesi I hari ini, Jumat (7/6), di level Rp835/lembar, maka indikasi dividend yield adalah 4%.","$PTBA cair, $MPMX exdate, $ACES pengumuman🤣🤣 next $PWON dan $SMDR😁"
$ACES BOB 865,kpn bgi Dividen y
"$ACES
19 Juni Cum Date DIVIDEN 4% .. Ayoo Boroongg Sebelum harga Naiiikkk Tinggii…", Rungkat uda 18%
"DIVIDEN HUNTER

$ACES
Cumdate: 19 Juni 2024 > Rp33.5/lembar
$IPCC
Cumdate: 19 Juni 2024 > Rp62.39/lembar
$KBLM
Cumdate: 20 Juni 2024 > Rp8/lembar
$JTPE
Cumdate: 21 Juni 2024 > Rp6/lembar
$ZYRX
Cumdate: 21 Juni 2024 > Rp3.7/lembar",jelas milih $IPCC
"ACES menuju target
Target 995

$ACES",masa sih? 🙃
$ACES hold menuju 950,iya 2 tahun lagi 😅
 $ACES ini jual saham treasury kah?, jual ke siapa?
$ACES woe gk bsa jual anjg udh pasang sl eror gmn si,"ada gap gan, makanya ga kena"
"$BBRI $BBNI $BMRI ketiganya membentuk higher low, dimarkup bwt diturunin lbh dalam lg, mending ketiganya nunggu dibawah 4000 aja",Oh iya kah xixixixi
$BMRI $BBNI $BBRI closing nanti iep nya jngan kempes yak,msh harap cemass
"$BMRI iep banting yg dlm, udah antri dibawah buat nambah muatan", nyinyinyinyi
"Kepala Otoritas IKN mengundurkan diri.... tentu ini tanda tanya besar... Apakah ini signal suram nya IKN???? yang pasti lupakan persahaman dulu,, jaga mental kalian gaes.. .. $BBRI $BMRI $BBCA $IHSG .. kalian jangan fomo kalau saham naik. semua hanya sesaat .. uda waktunya berdoa buat Indonesia... semiga PDIP oposisi,, dan bongkar semua korupsi di IKN dan dimana2.. gas indonesia perang politik guna menghancurkan otoritarian.. menghancurkan pemerintahaan yang semena2",Link berita dong
"$BMRI

sesuai namanya. MANDIRI !
menolak untuk diturunkan asing

haloooo bule ini bank orang indonesia ya ! 6000 adalah garis kita ! MERDEKA

ps : bukan ajakan buat ngecek harga group merdeka tambang ya, yang belum release laporan Q1 btw, dan sudah bikin orang deg2an gak keruan, merdekaaaaa cepetannnn release jangan malessss", siapa kita ??!!! 🇮🇩🇮🇩🇮🇩 
"Bulan depan, target mau beli saham $BBCA, $BMRI, dan $BBRI. Kira-kira gimana ya?

Ada yang mau kasih saran soal saham-saham yang aku pilih?
Ada insight ga ya?

Kalau insight dari saya sih, ini

BBCA
Kinerja Kuat Q1 2024: Laba bersih tumbuh 14,3% YoY menjadi Rp 9,88 triliun, didorong oleh pertumbuhan bisnis kredit dan fee.
Ekspansi Bisnis Digital: BCA terus mengembangkan layanan digitalnya, seperti BCA Mobile dan Solitaire, untuk meningkatkan penetrasi pasar dan pendapatan non-bunga.
Target Pertumbuhan Kredit Ambisius: BCA menargetkan pertumbuhan kredit 11%-12% di tahun 2024, didukung oleh prospek ekonomi Indonesia yang positif.

BMRI
Laba Bersih Tumbuh Kokoh: Laba bersih Q1 2024 Bank Mandiri naik 11,2% YoY menjadi Rp 4,6 triliun, ditopang oleh pertumbuhan kredit dan CASA (Current Accounts, Savings Accounts).
Fokus pada Kredit UMKM: Bank Mandiri fokus pada penyaluran kredit ke sektor UMKM yang memiliki potensi pertumbuhan tinggi.
Digitalisasi yang Agresif: Bank Mandiri terus mempercepat digitalisasi untuk meningkatkan efisiensi dan layanan nasabah.

BBRI
Raksasa Kredit UMKM: BBRI merupakan bank dengan penyaluran kredit UMKM terbesar di Indonesia, dengan portofolio kredit UMKM mencapai Rp 485 triliun per Maret 2024.
Laba Bersih Stabil: Laba bersih BBRI di Q1 2024 relatif stabil dibandingkan periode sebelumnya, di level Rp 8,1 triliun.
Peluang Pertumbuhan dari KUR: BBRI memiliki peluang besar untuk meningkatkan laba dari penyaluran Kredit Usaha Rakyat (KUR).",BMRI tumbuh 11% darimana lae?
" nanti pas sudah cut rate canada +europe..
pada fomo deh beli $BBRI $BMRI $BBNI", habis CL terbitlah Terbang wkwk
"Sell in May sudah berakhir, saya rasa kurang cocok ya analogi Sell in May saat pasar ambruk, apabila mata kita sudah terbuka, seharusnya kejadian bulan May adalah Buy besar2an, istilahnya SEROK, jadi ""sell in may"" ini apakah keputusan yg bijak? saya rasa ngga ya, simple aja masa iya sell saat ambruk dan buy saat hijau? Lebih baik ""Ready Cash in May"" hahaha 🤣🤣",Sell waktu ATH lah
"🏦 Bank Mandiri Beri Pinjaman Rp 2 Triliun

Emiten telekomunikasi milik orang terkaya Indonesia, PT Sarana Menara Nusantara Tbk (TOWR) mengumumkan, melalui entitas usahanya mendapat fasilitas kredit dari Bank Mandiri senilai Rp 2 Triliun.", BmRI to the moon
"$BBTN 1210
$BBCA 9125
$BMRI... Hecmm lagi cari wangsit dlu",halo dukun
"$BBRI mmg kualitas nya seperti ini ya, harga $BBNI 2x harga bri, dan harga $BMRI 3x harga bri", kualitas dilihat dari laba bro bukan market cap wkwkwkwkww
$BMRI Secara teknikal ada potensi hidden bearish divergence pada chart daily.,pala bapak kau bearish
"$BBRI $BMRI $BBCA $PTBA $BREN
Kalin pernah denger ga sih tentang judi slot yang lagi hype 2-3 tahun belakangan ?
Jujur ini udah menjadi keresahan gua juga, sebagai investor dan trader di pasar modal. Mirisnya di 3 bulan pertama 2024 perputaran uang judi online sudah mencapai Rp 100 triliun dan uang tersebut mengalir keluar negeri tanpa ada keuntungan untuk indonesia.

Secara definisi
Judi adalah adalah permainan dimana pemain bertaruh untuk memilih satu pilihan diantara beberapa pilihan di mana hanya satu pilihan saja yang benar dan pemenang memperoleh keuntungan dari yang kalah.

Trading adalah bentuk investasi keuangan yang bersifat aktif, dimana pemodal turut melakukan transaksi jual dan beli didalam pasar. Selain itu trading/ investasi saham memperjual belikan kepemilikan saham suatu perusahaan yang jelas.

Faktanya judi online ini sudah diatur oleh bandarnya karena peluang keberhasilan judi online (slot) yaitu 1: 5rb-34jt. Dengan peluang sekecil ini logika mana pun tidak mungkin bisa profit konsisten apalagi menjadi usaha sampingan.

Bayangkan jika uang tersebut diinvestasikan pada saham blucehip seperti BBCA, BBRI, BMRI, PTBA atau ITMG. Maka bisa mendorong nilai investasi di Indonesia dan kalian bisa mendapatkan rata-rata keuntungan 12-15%/ tahun

Menurut kalian ada ga sih solusi yang bisa ngatasin masalah ini di Indonesia. Mengingat perputaran uang judi online ini semakin meningkat tahun ke tahun ?",")kalo saya sekarang kalau mau judi sekalian aja masukin bitcoin, ada peluang return nya masih"
"be greedy when others fearfull hny berlaku disaham fundamental bos, disaham non fundamental ato fundamental jelek gni mn bisa. selamat cuci piring buat para apestor😄

btw bingung gw sm retail2 yg ngamuk2, beli sendiri, masuk sendiri ke saham fundamental kek gni, trs skrg nyangkut nyalahin org lain, nyalahin BEI. $BREN 1 lot cm dpt deviden 200perak bos, dianalisa kgk. klo skrg nyangkut jgn slhin org lain, salahin diri lo sndri.. makanya masuk ke saham2 big caps dgn funda bgs aja, spt $BBRI $BMRI $BBNI idup tenang, dpt return pasti😄", Siap suhu. Haka sesuai harga wajar nya yaitu di 1000
"$IHSG mending beli tanah daripada nyicil kagak jelas dibursa yang kebanyakan bandar, beli tanah jadi bandar sendiri. $BBCA $BBRI $BBNI $BMRI",gue liat ada orang jual tanah 100 meter dibekasi 1m wkwokwowkwokw bandar gila bekasi 1m. ya gapapa sih wong tanahnya tanah dia
"Apakah ini yg membuat asing kabur dari RI ???
APBN ditahun 2025, 2026, 2027 habis pertahun untuk bayar utang aja 1000an T🤦‍♂️
$BBRI $BBCA $BMRI $BBNI $TLKM", Negara hancur oleh sekelompok banteng marah karena selama orba mereka gak kebagian.
"sembari screening saham pas malam. Lihat-lihat RTI. hmm....

random: $BBRI $BMRI $BBNI $BBCA $TELE", ritel: serbuuu.... asing: money.. money.. money..
"$BMRI pucukers....

kapan balik ke 7 ribu an ini ...
mau Avg down malah naik

tag random $BBRI $BBNI", awal September bang kayane
$BMRI edan 70% pada haki semua,"tapi Alhamdulillahnya masih stagnan harganya, besok bisa naik pelan pelan"
$BBNI $BBCA $BMRI $BBRI Ngeriiiii...., turun lah Gilak aja
hindari big banks $BBCA $BBRI $BMRI $BBNI beralihlah ke $UNVR,“Be fearful when others are greedy and greedy when others are fearful.” - Warren Buffet
"Setelah mereka banyak keluar, baru pengumuman peringkat yang diturunkan dikeluarkan. Maksudnya apa? berharap lokal panik, harga jatuh, mereka masuk lagi? mungkin memang bukan mau keluar beneran, hanya mau koreksi harga saja di porto mereka, karena ekspektasi yang rendah akibat kondisi makro, mungkin. Apa kondisi bisnis rillnya seseram penurunan harga saham?
$BBRI $BBCA $BMRI $BBNI",Yg jelas masih terbuka penurunan diatas 20persen 🤣
"$PPRI naik tinggi d UMA, turun banyak kek $BBRI $BBNI $BBCA $BMRI diem....BEI 💩", turun 15% wajar lah kecuali ambles sampe 50%
"$BMRI

berasa EX DATE"," nunggu d 5,900"
"$BBRI sepertinya retail IDX dimiskinkan Bank BRI saking average down terus terusan karna berharap bakal jackpot dari bank bri ini. Kenyataan nya kaga jackpot. Malahan retail dihajar foreign sampe bertubi2 boncos. Akhirnya karna it mungkin ga ada duit buat buat invest ato averaging down di saham2 lain non blue chips yg mid cap small cap. Mental retail ya gitu, kapan lagi kalo ga skarang masuk BBRI $BMRI $BBNI $ASII, kaya semenjak covid pasti kan rebound. Mentality “pasti balik lagi naik, aman bgt saham big banks” tapi loh kok trrnyata turun terus ya. Jadi panik, dah habis pelor. Woi today naratif nya sudah berubah, bukan covid terus rebound. Gmana kalo kali ini bener2 structural damage di sektor big banks, umkm ancur, ultra mikro ancur. Liat morgan stanley dah downgrade. Hati2 buang duit ke laut bagi retail2. Sayangkan duit mu","waktu covid juga pada takut ekonomi ancur, akhirnya?"
$BMRI jangan masuk dulu masih sentimen negatif sama perbankan Indonesia,lol hahaha
$IHSG $BMRI uda terlalu mahal x ndarrr ... jd nya berat naik,Per sama Vbp masih dibawah bank bank lain
$BMRI cl untuk pindah ke saham nvidia gmn yaa,bad bro
"sedang meratap kenapa terlanjur avg down $BBRI dan $BMRI padahal malah masih terus ambrol ...
...
gak panik, cuma kesel.
buka akun sekuritas baru aja ya, lupakan ada porto yg masih kebakaran ... 🔥🙃",🤣🤣sama kehabisan modal…
"$BBCA $BBRI $BBNI $BMRI $ASII

Mohon dikaji lagi baik buruknya🙏🏻
Saya makan siang bayar gpp, yang penting ekonomi sumringah. Rupiah kuat.","Aseng asing saking takutnya masyakarat indonesia dapat asupan bergizi sejak dini dan pintar ketika dewasa, mereka 'mengutuk' kebijakan ini dg mendowngrade pasar modal indo a.k.a $IHSG . Dengan demikian program ini memang harus segera dijalankan. cocok nih kayaknya gw jadi buzzer ok $PGAS ok $CGAS"
"$BBRI $BBCA $BMRI MAU TURUN DALEM KAYAK APAPUN GUE GAK PEDULI, SEROK TIAP MINGGU! DUNIA MAU WW3 KEK, RUPIAH MAU KRISMON KEK, GLOBAL MAU RESESI KEK, GUE GAK PEDULI YG PENTING SEROK DAN JGN BANYAK BACOT YG MAU KAYA JGN TAKUT HAJAR SAJA!!"," Mantaps, dividenya lancar kok ya, emiten bagus BBNI & BMRI"
"$BMRI, leverage itu gmna efeknya","klo engga salah mirip trading limit,enak untuk 1 day hit"
"$CPIN ini saham kayak dijagain gak boleh naek tinggi, dikasih pager tinggi bener...moga2 ada yg tergerak duitnya buat rubuhin pagernya....", apakah saham perayaman tidak di ijinkan buat naik
"$CPIN dividen final 30 harga saham 5200

$BSSR jika harga saham berapa jika dividen final 350 up ?",bren 2 piah harga 13k 🤫
"$JPFA $CPIN supply chain nya nggak sehat

distributor GPM <±5%, kadang cuma dikasi cuan cashback an","yang sehat yang gimana?? tapi kan distributor tidak ada kerugian,, barang ga laku bisa di pulangi"
$EMTK kpn maen ke 500an lg ndarr..?,gak bakal kayae
$EMTK naek turun lagi 422. begitu melulu. penutupan mesti turun 422,anda salah sekarang 420 😂😂 et dah malah bner 🗿 nih saham mending di tek tokin aja dah
"Berhubung liga champions epl dan liga eropa lain lagi libur bisa lah kita support timnas dulu $EMTK $SCMA

Ramdom tag
$GOTO $BREN $BBRI","Perhatikan, bahkan dalam acara seperti Piala Dunia kemarin bisa terjadi kejutan yang tidak terduga."
"$CNMA Melihat betapa cerahnya masa depan perbioskopan mau tak mau Kompetitor mulai lahir dimana"".. Mending $EMTK dari pada CNMA.. EMTK restoran numpang jualan dibioskop 😆",kompetitor yg mana mas yg mau muncul?
$EMTK paling mentok di angka 402. RUPS gak ngaruh. CL ajah, Sudah. $EMTK termasuk saham BUSUK. Dilihat dr penurunan 3 tahun -82%
"$EMTK
Titip sendal menjelang public expose 🫡",ngimpi bang
"$EMTK naik dikit turun laik
naik dikit turun lagi
turun turun terus",Udah cutloss di harga berapa bang?
$EMTK saham ini kalau ngikutin pola tahun kmren. harusnya pada RUPS bisa naek 100point. cuman gak tahu knp nih saham susah bgt naeknya. sementara tutup mata sampai tgl 12 aja dlu,beneran 100 point pak?
$EMTK saham yang punya banyakan ritel. apa bakalan naek?," Ga bakalan naek bang ga usah dibeli, kalo udh punya mending lu cutloss aja 🤣"
$EMTK menang hak siar Timnas tetep gak ngaruh ya?,anomali kyae
$EMTK bagi devident😊, bukannya ditahun 2023 rugi ?
$EMTK @Anthem Boom! Target Hit! 🎯, besuk menurutmu naik atau turun?
"$EMTK
Besok rups ya?
Kasih kabar positif dong","belum ada kabar positif, eps tahun lalu minus, bagi dividen sepertinya tidak akan terjadi, kalaupun bagi dividen paling cuma seuprit aja"
"$EMTK menurut penelitian, orang yang suka menggambar polla pattern dan sejenisnya, maka dialah calon trader sejati yg akan sukses, camkan itu. 😎🤡", $EMTK Sampah Bursa bang Mesi. 1 tahun Longsor 43%. Untung cuma pegang 10 lot
" kalo saran saya jangan beli saham karena ngikutin orang lain bang.

Timeframe, modal, mental dan income tiap orang beda2.

Timeframe saya 10 tahun.
Modal saya 10 M.
Mental saya dulu pernah liat aset -95% dan bisa recover.
Income saya 350 jt per bulan.G914

Posisi saya disini baru 500 jt an, seandainya hilang semua juga saya ikhlas, saya cmn perlu menunda pensiun 1.5 bulan uangnya sudah balik dari gaji saya.

Saya udah di posisi nothing to lose 😂

Kalo saya pribadi yakin sama $EMTK dan saat ini porsi terbesar di porto saham saya.",haha thanks insightnya bang. kalau boleh tau sekarang average emtk di berapa bang?
"$EMTK

Saya secara pribadi sangat suka bisnis gurita EMTK. Yang sangat luar biasa, mereka berani melakukan akusisi tanpa hutang, right issue. Lain hal sistem akusisi holding lain seperti yg hype sekarang PP, cash nya ga cukup tapi berani hutang untuk akusisi.

Ada juga perusahaan yg dibentuk dari kecil hingga besar yang akhirnya dijual penuh ke pihak lain seperti DANA.

Tapi banyak juga kesalahan yg dilakukan seperti pembelian lisensi BB

Baru2 ini saja mereka mengakusisi $CASS, masih belum tau mau dikembangkan menjadi apa setelah bergabung ke EMTEK.

Apakah ini waktunya untuk akumulasi kembali perusahaan holding media ini?", Menurut bisikan $BUKA mau alihkan ke bisnis SASS dibandingkan kembali berkutat di e-commerce. Apakah keputusan yang tepat?
$EMTK invest udh setahun longsor 400 point cuma dapat dividen Rp 4 perak doang. Udh gitu RUPS gak ada disuguhin makan minum datang jauh2 smpe kehausan nungguin RUPSnya. 🙃 🙃 😰,avd brpa om?
"DIVIDEN HUNTER

$BRAM
Cumdate: 21Juni 2024 > Rp200/lembar
RSGK
Cumdate: 21 Juni 2024 > Rp11/lembar
$SCCO
Cumdate: 21 Juni 2024 > Rp75/lembar
$EMTK
Cumdate: 24 Juni 2024 > Rp4/lembar
$IPCM
Cumdate: 24 Juni 2024 > Rp18.61/lembar
$SHIP
Cumdate: 24 Juni 2024 > Rp20/lembar",EMTK cuma Rp 4/lembar
$EMTK apalah kmren udh serok di 382 hadehh,"kemarin udah oversold pdhal, kenapa hari ini terguling lagi ahh🥴"
$EMTK ini masih bisa buat jangka panjang gk ya....udah jatuh dalem banget 😭,avd brpa om?
"
$EMTK gila saham gorengan sampah ini terlalu banget , diragukan apakah ini saham milik grup sctv dkk atau cuma numpang nama ..... ini gila nih saham",jangan beli
